"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1362","TC001: Create User1 and validate.","chromium","Mon Dec 08 08:55:25 SGT 2025","passed","Mon Dec 08 08:55:27 SGT 2025","Data Driven using excel format","TESTKO\testAPI.spec.ts","",""
"","372","TC002: Create User2 and validate.","chromium","Mon Dec 08 08:55:27 SGT 2025","passed","Mon Dec 08 08:55:27 SGT 2025","Data Driven using excel format","TESTKO\testAPI.spec.ts","",""
