"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1362","TC001: Create User1 and validate.","chromium","2025-12-08","passed","2025-12-08","Data Driven using excel format","TESTKO\testAPI.spec.ts","",""
"","372","TC002: Create User2 and validate.","chromium","2025-12-08","passed","2025-12-08","Data Driven using excel format","TESTKO\testAPI.spec.ts","",""
